Date,open,high,low,close,volume,dividends,stock splits,returns,vol_30d,vol_252d,sma_50,sma_200,regime
2017-04-10 00:00:00-04:00,20668.220703125,20750.330078125,20614.859375,20658.01953125,230480000,0.0,0.0,9.294697020778564e-05,0.06788001132001184,0.09523456097223829,20615.7792578125,19205.004150390625,1
2017-04-11 00:00:00-04:00,20644.3203125,20660.029296875,20512.560546875,20651.30078125,255120000,0.0,0.0,-0.00032523688874608325,0.06782310356232947,0.09483560169805258,20629.38265625,19221.256904296875,1
2017-04-12 00:00:00-04:00,20637.94921875,20642.5390625,20553.029296875,20591.859375,267670000,0.0,0.0,-0.0028783371507508093,0.051597764275734766,0.09437384641416655,20643.938046875,19238.515,1
2017-04-13 00:00:00-04:00,20561.689453125,20612.26953125,20453.25,20453.25,235810000,0.0,0.0,-0.006731270473237627,0.05280384749107885,0.09465482901663153,20655.1842578125,19253.732646484375,1
2017-04-17 00:00:00-04:00,20484.75,20644.41015625,20484.75,20636.919921875,229240000,0.0,0.0,0.008979987135296241,0.06001028335078225,0.09500481712884123,20670.224453125,19268.44384765625,1
2017-04-18 00:00:00-04:00,20561.390625,20600.119140625,20462.279296875,20523.279296875,263180000,0.0,0.0,-0.005506665986504178,0.06147369164886306,0.09504515764388421,20679.2608203125,19281.41029296875,1
2017-04-19 00:00:00-04:00,20503.51953125,20546.689453125,20379.55078125,20404.490234375,294790000,0.0,0.0,-0.005788015686074455,0.06320708630145062,0.09522903820706034,20686.3022265625,19293.6858984375,1
2017-04-20 00:00:00-04:00,20406.6796875,20629.779296875,20406.6796875,20578.7109375,312440000,0.0,0.0,0.00853835117289492,0.06829710216738114,0.09554975879119312,20696.0706640625,19307.376357421876,1
2017-04-21 00:00:00-04:00,20578.099609375,20601.400390625,20505.330078125,20547.759765625,369600000,0.0,0.0,-0.0015040384195590395,0.06834441722397146,0.09532677799178065,20705.9390625,19320.522060546875,1
2017-04-24 00:00:00-04:00,20723.58984375,20792.19921875,20723.58984375,20763.890625,342400000,0.0,0.0,0.010518463415976509,0.07512251408634027,0.09584500346905334,20717.7688671875,19334.862109375,1
2017-04-25 00:00:00-04:00,20915.509765625,21026.970703125,20909.380859375,20996.119140625,348180000,0.0,0.0,0.011184248646801898,0.08199327613815123,0.09640635076355483,20732.3038671875,19349.10900390625,1
2017-04-26 00:00:00-04:00,21009.94921875,21070.900390625,20972.26953125,20975.08984375,328550000,0.0,0.0,-0.001001580184135542,0.08178451723637557,0.09642018234336891,20743.5624609375,19362.8498046875,1
